t (s),Distance de fil (m)
0,0
3.15544362088405e-30,6.55560189867879e-36
1.60493603251712e-05,3.31533434118146e-11
3.20987206503424e-05,9.92706008644549e-11
4.81480809755136e-05,1.98163425348125e-10
6.41974413006848e-05,3.19920312829489e-10
9.30798786511992e-05,6.13389565372401e-10
0.000165089578817634,1.790536425498e-09
0.000221975379696219,3.16333734971082e-09
0.000278861180574805,4.92357108778527e-09
0.000335746981453391,7.06351694119958e-09
0.000404976878571177,1.01677869504233e-08
0.000496928947140247,1.51165187656858e-08
0.000619427899170389,2.31227267190255e-08
0.00078079060505022,3.60239943309733e-08
0.00100118011915066,5.77109366057847e-08
0.00122156963325109,8.38021974443942e-08
0.00144195914735153,1.13966052523561e-07
0.00166234866145197,1.47892021209854e-07
0.00194335687783327,1.96118463862085e-07
0.00222436509421457,2.49460638679645e-07
0.00250537331059587,3.07431370874885e-07
0.00286730453470402,3.8814477972327e-07
0.00322923575881217,4.74967324437472e-07
0.00368058792372276,5.90609989880858e-07
0.00413194008863336,7.1337655168119e-07
0.00469301016599511,8.74227803033954e-07
0.00525408024335687,1.04277224321442e-06
0.00581515032071862,1.21760819441491e-06
0.006520649965378,1.44450451692348e-06
0.00738207932447943,1.7298717105007e-06
0.00824350868358085,2.02226710490272e-06
0.00940159727665144,2.4229710465555e-06
0.0109774991413105,2.97750644856178e-06
0.0131413479391524,3.74897958851497e-06
0.0162643731189836,4.87200704699682e-06
0.021321736139652,6.69851116592931e-06
0.031309421138902,1.03108436349986e-05
0.0575007510594808,1.97924257684355e-05
0.0999999999999991,3.52270676055272e-05
0.1,3.52270676055276e-05
0.100000000000001,3.52270676055279e-05
0.168332820185873,6.03759458075574e-05
0.236665640371745,8.59480940066913e-05
0.317894302328266,0.000117185265730401
0.317904827904183,0.000117189313445026
0.3179153534801,0.000117193361175657
0.317925879056017,0.000117197408922296
0.317936404631934,0.000117201456680139
0.317955734957688,0.000117208890466045
0.317965223034845,0.0001172125392779
0.317965223034849,0.000117212539277901
0.317976743366528,0.000117216969655433
0.317988263698208,0.000117221400052143
0.31800327552977,0.000117227173214428
0.318018287361333,0.000117232946399889
0.318043249911986,0.000117242546454706
0.318113514879603,0.0001172695693148
0.318168341246558,0.00011729065520782
0.318223167613513,0.000117311741535764
0.318277993980469,0.000117332828298949
0.318332820347424,0.000117353915497159
0.318412706010329,0.000117384641725917
0.318525779476914,0.00011742813447788
0.318672805273681,0.000117484689474345
0.318862268417859,0.000117557573053088
0.319128290800374,0.000117659916582449
0.319567527906092,0.000117828921359304
0.320501383931819,0.000118188333309581
0.320501383931824,0.000118188333309583
0.320700376005157,0.000118264938403151
0.320899368078491,0.000118341549269289
0.321098360151824,0.000118418165911489
0.321297352225157,0.000118494786599006
0.321667146686173,0.000118637187732704
0.322234772316047,0.000118855808017038
0.323060479846042,0.000119173912046766
0.324929054557488,0.000119894150784483
0.325022430121638,0.000119930156360128
0.325115805685788,0.000119966163223262
0.325302556814087,0.000120038182101855
0.325537874020747,0.000120128935559002
0.325939638905016,0.00012028389935028
0.326814512368373,0.000120621426429884
0.328270245000015,0.000121183300552539
0.331404128609054,0.000122393971621324
0.333968999852111,0.000123385921573023
0.336533871095169,0.000124378868720632
0.339098742338227,0.000125372820475798
0.341663613581284,0.000126367784170893
0.34487401646792,0.000127614600386756
0.348084419354556,0.000128863027993173
0.352049033447514,0.000130406992034649
0.356013647540471,0.000131953462625961
0.360845188477562,0.000133841524623027
0.365676729414653,0.000135733398378649
0.371629482113704,0.000138069620997495
0.377582234812754,0.000140411795081086
0.385083844842599,0.000143372011882283
0.394105602677948,0.000146945085377341
0.403127360513297,0.000150532612351166
0.403127360513302,0.000150532612351168
0.404988385021718,0.000151274784783834
0.406849409530134,0.000152017590024289
0.409237221961127,0.000152971703275929
0.41162503439212,0.0001539265642326
0.415940648325661,0.000155654768407829
0.423914789288622,0.000158857080284895
0.438294046384377,0.000164662356473584
0.438294046384381,0.000164662356473586
0.441976593003857,0.000166156849016061
0.445659139623334,0.000167654037938299
0.44934168624281,0.00016915394430415
0.45397355548175,0.000171043366113887
0.463395837188105,0.000174899585858956
0.465292771181827,0.00017567839579822
0.467189705175549,0.000176457954957274
0.470983573162992,0.000178020089966628
0.476908843312856,0.000180464545162097
0.487036801613423,0.000184659115151279
0.510677766038742,0.000194537484304627
0.536135575501764,0.000205316273606078
0.561593384964787,0.000216248599928306
0.587051194427809,0.00022734132507119
0.612509003890831,0.000238601144241794
0.637966813353853,0.000250034695892272
0.669195733330221,0.000264307852538278
0.707337166990983,0.000282127441830846
0.745478600651744,0.000300391886624941
0.796033029587745,0.000325327027525325
0.805604433558373,0.000330158591059327
0.815175837529,0.000335021935631648
0.834318645470256,0.000344878089267009
0.872604261352767,0.000364910277677063
0.949175493117788,0.000406588372402636
0.96261616926024,0.000414166078866356
0.97639683189666,0.000422013294458961
0.990526088607638,0.000430141939822498
1.00465534531862,0.000438354630794582
1.03291385874057,0.00045512412975886
1.08943088558448,0.000489518112832612
1.20246493927231,0.000562667529471244
1.22231317483969,0.00057622302159708
1.24216141040708,0.000589982014866153
1.26301389879542,0.000604665528240397
1.28439391893804,0.000619964651441218
1.306314816224,0.00063591189040687
1.32823571350996,0.000652124670776521
1.37207750808188,0.000685645965741511
1.42470093769919,0.000726987996761948
1.51482376884217,0.000801391973211841
1.67222344325524,0.00094392822227368
1.67389881644542,0.000945533273465992
1.67557418963559,0.00094714031315679
1.67772589002112,0.000949207536661097
1.67987759040665,0.000951278049478801
1.68202929079219,0.000953350866959261
1.68615850830718,0.000957337168410726
1.69436048010884,0.000965290826806676
1.70313467084388,0.000973852371471868
1.71190886157891,0.000982469458871842
1.72068305231395,0.000991142484594888
1.72945724304899,0.000999871761991052
1.73823143378403,0.0010086576084287
1.74700562451907,0.00101750035196643
1.7589200812956,0.00102959964854365
1.77418309456263,0.00104525510276739
1.79325567202416,0.00106506632962977
1.82186537269447,0.00109530898322345
1.84474741709016,0.0011199558452973
1.86762946148585,0.00114501742541108
1.89051150588154,0.00117049980741023
1.91339355027723,0.00119640905264643
1.93627559467292,0.00122275124642814
1.95915763906861,0.00124953251005035
1.9820396834643,0.00127675900345383
1.99999999999999,0.0012984467621658
2,0.00129844676216582
2.00000000000003,0.00129844676216586
2.00449147079522,0.00130514295762886
2.00890508206882,0.00131351408165422
2.01328050282817,0.00132385112466776
2.01765592358751,0.00133636354716931
2.02203134434686,0.00135112363020295
2.02640676510621,0.00136748255671247
2.03490161102826,0.00140531297058889
2.04747656354174,0.00147702835346669
2.06501746564277,0.00160901734935672
2.09405456606356,0.00190888006150044
2.16195740202078,0.00299348021533093
2.22986023797801,0.00459736938236441
2.28364182282247,0.00621793702743678
2.2836418228225,0.00621793702743772
2.28840569008892,0.00637609977668292
2.29316955735534,0.00653458084744929
2.30269729188817,0.00685183374463368
2.32175276095384,0.00748648178240396
2.35591803934508,0.00862446024074514
2.36246842237843,0.00884264417105723
2.36901880541177,0.00906082918382011
2.38211957147846,0.00949720451726153
2.38933267682943,0.00973746856760477
2.39654578218039,0.00997773431280037
2.41097199288233,0.010458272694663
2.43982441428619,0.0114193663925586
2.44849689679134,0.0117082586587876
2.45716937929648,0.0119971535582109
2.47451434430678,0.0125749540666883
2.50920427432736,0.0137305815058027
2.51963123847815,0.0140779448783496
2.53005820262895,0.0144253123824097
2.55091213093053,0.0151200642480546
2.5926199875337,0.016509609784501
2.67603570074003,0.0192889132441116
2.8428671271527,0.0248485101906639
3.17652997997805,0.0359727762058002
3.84385568562873,0.0582534476530942
3.88795215322536,0.0597274338728448
3.932048620822,0.0612017083590714
